time	V(sw)
4.795793910618686e-005	1.856189e-002
4.796793910618680e-005	1.883316e-002
4.797793910618674e-005	1.910451e-002
4.798793910618668e-005	1.937593e-002
4.799793910618662e-005	1.964741e-002
4.800793910618656e-005	1.991895e-002
4.801793910618650e-005	2.019053e-002
4.802793910618644e-005	2.046216e-002
4.803793910618638e-005	2.073383e-002
4.804793910618633e-005	2.100552e-002
4.805293910618630e-005	2.114139e-002
4.805793910618627e-005	2.127725e-002
4.806293910618624e-005	2.141313e-002
4.806793910618621e-005	2.154901e-002
4.807293910618618e-005	2.168490e-002
4.807793910618615e-005	2.182079e-002
4.808293910618612e-005	2.195669e-002
4.808793910618609e-005	2.209259e-002
4.809293910618606e-005	2.222850e-002
4.809793910618603e-005	2.236441e-002
4.810293910618600e-005	2.250032e-002
4.810793910618597e-005	2.263623e-002
4.811293910618594e-005	2.277216e-002
4.811793910618591e-005	2.290808e-002
4.812293910618588e-005	2.304401e-002
4.812793910618585e-005	2.317993e-002
4.813293910618582e-005	2.331586e-002
4.813793910618579e-005	2.345179e-002
4.814293910618576e-005	2.358773e-002
4.814793910618573e-005	2.372366e-002
4.815793910618567e-005	2.399554e-002
4.816793910618561e-005	2.426741e-002
4.817793910618555e-005	2.453929e-002
4.819293910618546e-005	2.494711e-002
4.820793910618538e-005	2.535493e-002
4.822293910618529e-005	2.576275e-002
4.823508196332807e-005	2.609288e-002
4.824722482047086e-005	2.642301e-002
4.825936767761364e-005	2.675313e-002
4.827151053475642e-005	2.708324e-002
4.828365339189921e-005	2.741334e-002
4.829579624904199e-005	2.774344e-002
4.830793910618478e-005	2.807352e-002
4.832079624904184e-005	2.842301e-002
4.833365339189892e-005	2.877249e-002
4.834651053475598e-005	2.912195e-002
4.835936767761305e-005	2.947140e-002
4.837222482047011e-005	2.982084e-002
4.838508196332718e-005	3.017026e-002
4.839793910618425e-005	3.051967e-002
4.841508196332701e-005	3.098553e-002
4.843222482046976e-005	3.145135e-002
4.844936767761251e-005	3.191715e-002
4.846651053475527e-005	3.238292e-002
4.848365339189802e-005	3.284866e-002
